linux_symbol	kind	linux_source	rust_symbol	rust_path	rust_visibility	rust_parity	status	notes
__inc_zone_page_state	export	vendor/linux/mm/vmstat.c	__inc_zone_page_state	src/mm/vmstat.rs	pub	complete	complete	exact name exists in a complete parity file
__is_vma_write_locked	inline	vendor/linux/include/linux/mmap_lock.h	__is_vma_write_locked	src/mm/mmap_lock.rs	pub	complete	complete	exact name exists in a complete parity file
__kasan_check_read	export	vendor/linux/mm/kasan/shadow.c	__kasan_check_read	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__kasan_check_write	export	vendor/linux/mm/kasan/shadow.c	__kasan_check_write	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__kasan_kmalloc	export	vendor/linux/mm/kasan/common.c	__kasan_kmalloc	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__kernel_map_pages	prototype	vendor/linux/include/linux/mm.h	__kernel_map_pages	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__kernel_poison_pages	prototype	vendor/linux/include/linux/mm.h	__kernel_poison_pages	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__kernel_unpoison_pages	prototype	vendor/linux/include/linux/mm.h	__kernel_unpoison_pages	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__kfence_pool	export	vendor/linux/mm/kfence/core.c	__kfence_pool	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__kmalloc_cache_node_noprof	export	vendor/linux/mm/slub.c	__kmalloc_cache_node_noprof	src/mm/slab.rs	pub	complete	complete	exact name exists in a complete parity file
__kmalloc_cache_noprof	export	vendor/linux/mm/slub.c	__kmalloc_cache_noprof	src/mm/slab.rs	pub	complete	complete	exact name exists in a complete parity file
__kmalloc_index	prototype	vendor/linux/include/linux/slab.h	__kmalloc_index	src/mm/slab.rs	pub	complete	complete	exact name exists in a complete parity file
__kmalloc_large_node_noprof	export	vendor/linux/mm/slub.c	__kmalloc_large_node_noprof	src/mm/slab.rs	pub	complete	complete	exact name exists in a complete parity file
__kmalloc_large_noprof	export	vendor/linux/mm/slub.c	__kmalloc_large_noprof	src/mm/slab.rs	pub	complete	complete	exact name exists in a complete parity file
__kmalloc_node_noprof	export	vendor/linux/mm/slub.c	__kmalloc_node_noprof	src/mm/slab.rs	pub	complete	complete	exact name exists in a complete parity file
__kmalloc_node_track_caller_noprof	export	vendor/linux/mm/slub.c	__kmalloc_node_track_caller_noprof	src/mm/slab.rs	pub	complete	complete	exact name exists in a complete parity file
__kmalloc_noprof	export	vendor/linux/mm/slub.c	__kmalloc_noprof	src/mm/slab.rs	pub	complete	complete	exact name exists in a complete parity file
__kmap_local_page_prot	export	vendor/linux/mm/highmem.c	__kmap_local_page_prot	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__kmap_local_pfn_prot	export	vendor/linux/mm/highmem.c	__kmap_local_pfn_prot	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__kmap_to_page	export	vendor/linux/mm/highmem.c	__kmap_to_page	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__kmem_cache_create_args	export	vendor/linux/mm/slab_common.c	__kmem_cache_create_args	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__ksm_enter	prototype	vendor/linux/include/linux/ksm.h	__ksm_enter	src/mm/ksm.rs	pub	complete	complete	exact name exists in a complete parity file
__ksm_exit	prototype	vendor/linux/include/linux/ksm.h	__ksm_exit	src/mm/ksm.rs	pub	complete	complete	exact name exists in a complete parity file
__kvmalloc_node_noprof	export	vendor/linux/mm/slub.c	__kvmalloc_node_noprof	src/mm/slab.rs	pub	complete	complete	exact name exists in a complete parity file
__list_lru_init	export	vendor/linux/mm/list_lru.c	__list_lru_init	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
